One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Market Research Analysts and Marketing Specialists (SOC code 13-1161),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Nebraska (31-00000),"3,890",4.2,$30.58,"$63,610",1.4,$19.50,$23.10,$26.74,$36.86,$47.17,"$40,550","$48,040","$55,630","$76,660","$98,110",3.832,0.7
Nevada (32-00000),"5,580",6.6,$35.00,"$72,790",4.0,$17.57,$22.60,$30.09,$45.00,$58.07,"$36,550","$47,010","$62,590","$93,600","$120,780",3.649,0.6
New Hampshire (33-00000),"4,780",7.0,$35.83,"$74,520",4.1,$19.97,$22.19,$32.50,$44.92,$60.93,"$41,530","$46,150","$67,590","$93,430","$126,720",6.992,1.3
New Jersey (34-00000),"22,970",5.2,$45.09,"$93,780",2.2,$22.91,$31.25,$40.96,$55.07,$71.16,"$47,650","$65,000","$85,190","$114,540","$148,010",5.405,1.0
New Mexico (35-00000),"1,830",5.8,$30.71,"$63,880",1.5,$18.59,$22.65,$28.94,$36.43,$44.11,"$38,660","$47,110","$60,200","$75,780","$91,760",2.124,0.4
New York (36-00000),"75,100",2.9,$47.91,"$99,650",1.1,$25.56,$31.76,$44.16,$61.11,$78.09,"$53,170","$66,060","$91,840","$127,110","$162,430",7.870,1.4
North Carolina (37-00000),"30,140",2.6,$41.23,"$85,760",1.3,$20.19,$26.92,$37.19,$50.15,$67.30,"$42,000","$55,980","$77,360","$104,300","$139,980",6.153,1.1
North Dakota (38-00000),"1,500",6.2,$32.21,"$66,990",2.3,$19.16,$23.81,$29.92,$38.63,$49.09,"$39,840","$49,520","$62,230","$80,340","$102,110",3.547,0.6
Ohio (39-00000),"25,680",3.0,$36.76,"$76,460",1.1,$18.73,$24.07,$32.62,$45.99,$61.25,"$38,950","$50,060","$67,850","$95,660","$127,390",4.647,0.8
Oklahoma (40-00000),"7,800",4.7,$33.54,"$69,770",3.4,$12.46,$19.94,$28.52,$42.43,$66.71,"$25,920","$41,480","$59,330","$88,250","$138,750",4.611,0.8
Oregon (41-00000),"12,340",6.0,$44.41,"$92,370",2.7,$23.11,$29.95,$39.71,$53.09,$73.31,"$48,070","$62,300","$82,600","$110,420","$152,480",6.277,1.1
Pennsylvania (42-00000),"31,240",3.7,$35.74,"$74,340",1.3,$18.06,$24.00,$31.34,$43.26,$59.95,"$37,550","$49,920","$65,190","$89,990","$124,690",5.195,0.9
Puerto Rico (72-00000),"1,590",6.7,$20.79,"$43,240",4.2,$11.16,$13.58,$18.46,$25.57,$32.38,"$23,210","$28,240","$38,410","$53,190","$67,360",1.690,0.3
Rhode Island (44-00000),"3,540",7.3,$38.51,"$80,100",4.1,$18.00,$28.16,$37.32,$48.53,$60.54,"$37,440","$58,560","$77,630","$100,950","$125,910",7.166,1.3
South Carolina (45-00000),"9,400",4.5,$37.60,"$78,210",3.5,$16.58,$23.36,$31.78,$47.37,$69.52,"$34,490","$48,600","$66,110","$98,530","$144,610",4.138,0.7
South Dakota (46-00000),"1,460",5.6,$33.25,"$69,160",2.9,$21.76,$23.45,$29.67,$38.81,$49.15,"$45,260","$48,780","$61,720","$80,710","$102,230",3.216,0.6
Tennessee (47-00000),"13,350",4.7,$35.28,"$73,380",2.1,$19.16,$24.40,$31.11,$41.43,$59.86,"$39,860","$50,750","$64,720","$86,180","$124,500",4.077,0.7
Texas (48-00000),"61,200",5.6,$36.16,"$75,210",2.0,$17.53,$23.86,$31.20,$44.64,$62.33,"$36,460","$49,620","$64,900","$92,850","$129,650",4.420,0.8
Utah (49-00000),"13,310",4.2,$34.73,"$72,230",2.4,$17.77,$22.47,$31.20,$41.26,$59.56,"$36,970","$46,740","$64,900","$85,830","$123,880",7.783,1.4
Vermont (50-00000),"1,000",9.9,$37.01,"$76,980",3.1,$23.97,$28.67,$35.74,$39.94,$52.56,"$49,860","$59,640","$74,340","$83,060","$109,320",3.295,0.6
Virgin Islands (78-00000),120,21.1,$23.94,"$49,790",4.0,$14.42,$17.73,$24.10,$28.84,$29.08,"$29,990","$36,880","$50,130","$59,990","$60,490",3.483,0.6
Virginia (51-00000),"24,870",4.9,$43.95,"$91,410",3.0,$21.18,$27.94,$38.39,$54.52,$76.22,"$44,050","$58,120","$79,840","$113,390","$158,540",6.118,1.1
Washington (53-00000),"26,030",3.0,$50.87,"$105,800",1.2,$25.47,$33.41,$45.34,$63.38,$82.58,"$52,980","$69,490","$94,300","$131,820","$171,760",7.353,1.3
West Virginia (54-00000),"1,700",8.2,$27.76,"$57,730",6.6,$15.21,$17.86,$24.18,$33.65,$50.48,"$31,640","$37,140","$50,290","$69,990","$105,000",2.421,0.4
Wisconsin (55-00000),"15,810",2.4,$34.94,"$72,680",1.0,$19.88,$25.05,$31.25,$40.30,$52.50,"$41,360","$52,110","$65,000","$83,820","$109,200",5.407,1.0
Wyoming (56-00000),840,8.8,$29.56,"$61,490",5.0,$11.82,$19.97,$27.43,$34.12,$50.20,"$24,580","$41,530","$57,040","$70,970","$104,410",3.001,0.5
Footnotes:,,,,,,,,,,,,,,,,,
(1) Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,,,,,,,,,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,,,,,,,,,,,,
"(3) The relative standard error (RSE) is a measure of the reliability of a survey statistic. The smaller the relative standard error, the more precise the estimate.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Data extracted on November 05, 2025",,,,,,,,,,,,,,,,,
