One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Computer Systems Analysts (SOC code 15-1211),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Georgia (13-00000),"12,200",3.4,$51.26,"$106,610",1.3,$29.13,$38.50,$49.70,$62.31,$76.67,"$60,580","$80,090","$103,380","$129,610","$159,470",2.512,0.8
Hawaii (15-00000),"1,860",10.3,$44.33,"$92,210",3.8,$29.00,$33.86,$41.68,$50.72,$60.65,"$60,320","$70,430","$86,700","$105,510","$126,160",3.000,0.9
Idaho (16-00000),"2,230",16.5,$36.55,"$76,030",12.9,$14.00,$24.22,$33.08,$47.16,$64.02,"$29,130","$50,370","$68,810","$98,090","$133,160",2.643,0.8
Illinois (17-00000),"22,350",9.3,$46.42,"$96,560",3.7,$25.00,$31.64,$46.12,$59.47,$66.14,"$52,000","$65,800","$95,920","$123,700","$137,580",3.685,1.1
Indiana (18-00000),"9,540",5.1,$48.55,"$100,990",3.5,$29.51,$36.73,$46.38,$57.74,$66.30,"$61,380","$76,390","$96,470","$120,110","$137,900",2.994,0.9
Iowa (19-00000),"4,490",7.7,$44.87,"$93,330",1.3,$29.40,$35.74,$44.07,$51.39,$61.55,"$61,150","$74,340","$91,670","$106,890","$128,030",2.874,0.9
Kansas (20-00000),"4,090",6.5,$49.14,"$102,220",2.8,$29.38,$36.45,$46.78,$62.21,$75.19,"$61,120","$75,810","$97,300","$129,390","$156,400",2.857,0.9
Kentucky (21-00000),"4,700",11.8,$42.84,"$89,100",5.5,$21.74,$28.92,$39.07,$51.00,$72.77,"$45,220","$60,150","$81,270","$106,080","$151,360",2.355,0.7
Louisiana (22-00000),"2,510",9.4,$45.92,"$95,520",6.3,$26.84,$33.18,$43.18,$54.08,$75.59,"$55,820","$69,010","$89,800","$112,480","$157,220",1.313,0.4
Maine (23-00000),"2,600",7.7,$50.19,"$104,400",3.3,$30.80,$37.10,$47.43,$59.89,$85.83,"$64,060","$77,170","$98,660","$124,570","$178,530",4.093,1.3
Maryland (24-00000),"15,090",6.0,$55.30,"$115,010",2.3,$32.01,$40.29,$49.62,$68.04,$81.15,"$66,580","$83,810","$103,200","$141,530","$168,800",5.495,1.7
Massachusetts (25-00000),"16,650",5.1,$60.67,"$126,190",2.0,$37.96,$47.14,$58.45,$71.95,$82.53,"$78,960","$98,050","$121,580","$149,660","$171,650",4.572,1.4
Michigan (26-00000),"14,990",4.7,$49.24,"$102,420",1.1,$30.67,$38.45,$48.19,$58.73,$64.05,"$63,790","$79,980","$100,240","$122,160","$133,230",3.415,1.1
Minnesota (27-00000),"10,580",2.6,$53.53,"$111,350",0.6,$35.49,$41.61,$51.32,$63.97,$76.61,"$73,810","$86,550","$106,740","$133,050","$159,350",3.622,1.1
Mississippi (28-00000),"2,040",24.6,$40.71,"$84,670",3.0,$22.76,$30.30,$39.84,$46.88,$59.52,"$47,350","$63,020","$82,870","$97,510","$123,800",1.755,0.5
Missouri (29-00000),"7,140",6.5,$45.52,"$94,680",2.7,$23.01,$30.87,$44.59,$58.30,$67.36,"$47,860","$64,210","$92,740","$121,270","$140,100",2.447,0.8
Montana (30-00000),860,20.4,$48.48,"$100,840",9.4,$28.89,$35.07,$42.82,$52.61,$81.00,"$60,090","$72,940","$89,060","$109,440","$168,480",1.696,0.5
Nebraska (31-00000),"2,250",11.3,$45.64,"$94,930",1.6,$28.97,$35.89,$44.27,$54.95,$64.18,"$60,250","$74,660","$92,090","$114,290","$133,500",2.211,0.7
Nevada (32-00000),"2,500",11.5,$48.54,"$100,960",2.8,$29.30,$37.61,$48.95,$55.70,$63.32,"$60,930","$78,230","$101,810","$115,850","$131,700",1.635,0.5
New Hampshire (33-00000),"2,390",23.1,$52.69,"$109,600",2.2,$35.34,$41.53,$48.41,$60.85,$76.09,"$73,510","$86,380","$100,700","$126,580","$158,260",3.499,1.1
New Jersey (34-00000),"17,290",6.0,$59.93,"$124,650",3.7,$34.04,$44.32,$59.44,$77.62,$83.33,"$70,790","$92,190","$123,640","$161,450","$173,320",4.067,1.3
New Mexico (35-00000),"2,500",9.4,$46.50,"$96,720",3.2,$27.62,$36.06,$45.46,$51.95,$64.74,"$57,450","$75,010","$94,570","$108,060","$134,670",2.905,0.9
New York (36-00000),"20,950",7.8,$55.41,"$115,250",3.7,$30.60,$39.28,$50.77,$66.12,$81.98,"$63,650","$81,690","$105,610","$137,540","$170,510",2.196,0.7
North Carolina (37-00000),"25,350",4.9,$53.88,"$112,060",2.1,$31.86,$40.21,$50.45,$63.27,$78.49,"$66,280","$83,640","$104,940","$131,600","$163,270",5.174,1.6
North Dakota (38-00000),180,12.3,$49.20,"$102,340",1.9,$34.05,$41.33,$46.32,$56.35,$64.36,"$70,820","$85,960","$96,350","$117,220","$133,880",0.420,0.1
Ohio (39-00000),"15,490",6.3,$49.37,"$102,700",2.2,$29.52,$37.40,$47.59,$61.15,$72.36,"$61,400","$77,790","$98,990","$127,180","$150,520",2.802,0.9
Oklahoma (40-00000),"3,100",9.3,$50.42,"$104,880",4.6,$29.56,$37.55,$48.29,$61.99,$79.05,"$61,480","$78,110","$100,450","$128,930","$164,420",1.835,0.6
Oregon (41-00000),"5,030",6.9,$58.11,"$120,860",2.1,$38.58,$47.92,$53.43,$64.00,$79.68,"$80,250","$99,670","$111,140","$133,120","$165,740",2.558,0.8
Pennsylvania (42-00000),"15,400",5.8,$47.88,"$99,590",1.6,$29.31,$37.09,$46.85,$59.00,$67.61,"$60,970","$77,150","$97,450","$122,720","$140,630",2.561,0.8
Puerto Rico (72-00000),"1,310",6.3,$29.77,"$61,920",1.3,$17.52,$22.76,$29.78,$37.50,$40.18,"$36,440","$47,330","$61,940","$78,000","$83,570",1.399,0.4
Rhode Island (44-00000),"1,560",18.3,$57.83,"$120,290",1.8,$36.12,$44.19,$54.32,$65.35,$81.14,"$75,120","$91,910","$112,980","$135,920","$168,770",3.157,1.0
South Carolina (45-00000),"7,290",6.7,$47.40,"$98,600",1.9,$25.43,$35.33,$45.55,$58.21,$65.14,"$52,890","$73,490","$94,740","$121,090","$135,490",3.210,1.0
South Dakota (46-00000),"1,050",17.2,$49.06,"$102,040",4.0,$32.57,$37.77,$46.08,$56.32,$73.81,"$67,750","$78,560","$95,850","$117,140","$153,520",2.322,0.7
Tennessee (47-00000),"9,820",6.9,$43.25,"$89,960",3.7,$25.90,$28.84,$39.63,$52.88,$63.79,"$53,870","$59,990","$82,430","$109,990","$132,690",3.000,0.9
Texas (48-00000),"48,150",5.1,$54.98,"$114,350",1.5,$31.92,$39.50,$50.47,$65.04,$79.90,"$66,400","$82,170","$104,970","$135,270","$166,200",3.477,1.1
Utah (49-00000),"2,810",6.1,$46.34,"$96,380",1.3,$29.02,$37.45,$44.87,$54.03,$64.55,"$60,360","$77,900","$93,330","$112,380","$134,260",1.641,0.5
Vermont (50-00000),590,27.7,$50.21,"$104,440",3.9,$34.24,$39.15,$47.45,$57.46,$61.83,"$71,220","$81,430","$98,690","$119,510","$128,610",1.924,0.6
Virgin Islands (78-00000),50,2.7,$31.50,"$65,530",2.5,$24.36,$25.46,$27.24,$36.67,$43.91,"$50,670","$52,950","$56,650","$76,280","$91,330",1.327,0.4
Virginia (51-00000),"22,730",5.3,$58.11,"$120,880",2.1,$34.52,$42.95,$54.57,$71.47,$88.08,"$71,800","$89,330","$113,500","$148,650","$183,200",5.592,1.7
Washington (53-00000),"18,230",6.5,$64.29,"$133,710",2.3,$39.19,$48.79,$61.26,$77.80,$89.64,"$81,520","$101,470","$127,420","$161,820","$186,450",5.149,1.6
West Virginia (54-00000),"1,300",15.1,$47.67,"$99,150",3.5,$28.26,$37.60,$47.62,$58.73,$66.86,"$58,770","$78,210","$99,050","$122,160","$139,080",1.857,0.6
Wisconsin (55-00000),"7,710",12.1,$47.83,"$99,490",1.5,$30.91,$38.06,$47.50,$56.72,$62.58,"$64,280","$79,170","$98,790","$117,990","$130,160",2.636,0.8
Wyoming (56-00000),320,24.3,$45.94,"$95,560",7.8,$21.72,$35.47,$42.69,$51.71,$68.87,"$45,170","$73,770","$88,790","$107,550","$143,250",1.165,0.4
Footnotes:,,,,,,,,,,,,,,,,,
(1) Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,,,,,,,,,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,,,,,,,,,,,,
"(3) The relative standard error (RSE) is a measure of the reliability of a survey statistic. The smaller the relative standard error, the more precise the estimate.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Data extracted on November 05, 2025",,,,,,,,,,,,,,,,,
