One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Statisticians (SOC code 15-2041),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Mississippi (28-00000),70,5.9,$31.70,"$65,930",0.7,$21.30,$23.95,$28.84,$35.57,$47.76,"$44,300","$49,820","$59,980","$73,990","$99,350",0.062,0.3
Missouri (29-00000),550,3.1,$36.58,"$76,080",1.8,$21.05,$25.97,$30.99,$45.29,$60.59,"$43,780","$54,020","$64,460","$94,200","$126,030",0.187,1.0
Montana (30-00000),50,27.6,$41.62,"$86,570",4.1,$29.95,$36.94,$38.03,$49.71,$58.00,"$62,300","$76,830","$79,100","$103,400","$120,640",0.104,0.5
Nebraska (31-00000),170,5.8,$41.38,"$86,080",2.4,$25.50,$31.47,$39.79,$50.16,$61.19,"$53,050","$65,460","$82,770","$104,330","$127,280",0.163,0.8
Nevada (32-00000),60,11.3,$41.17,"$85,630",2.6,$24.46,$31.18,$34.25,$54.42,$61.04,"$50,880","$64,850","$71,250","$113,180","$126,960",0.039,0.2
New Hampshire (33-00000),50,23.3,$59.27,"$123,280",6.3,$33.47,$45.42,$61.48,$73.55,$74.60,"$69,620","$94,470","$127,870","$152,990","$155,180",0.068,0.3
New Jersey (34-00000),550,34.7,$55.14,"$114,700",12.2,$35.19,$36.03,$47.84,$73.24,$82.93,"$73,200","$74,940","$99,510","$152,340","$172,500",0.129,0.7
New Mexico (35-00000),360,38.3,$36.99,"$76,930",8.2,$24.04,$25.44,$41.50,$41.50,$44.59,"$49,990","$52,920","$86,310","$86,310","$92,750",0.413,2.1
New York (36-00000),"1,490",31.9,$70.90,"$147,470",11.5,$36.11,$47.84,$72.23,$82.07,$106.36,"$75,110","$99,510","$150,240","$170,710","$221,230",0.156,0.8
North Carolina (37-00000),"1,430",8.3,$61.67,"$128,280",2.3,$37.03,$45.96,$58.96,$76.24,$95.18,"$77,030","$95,590","$122,630","$158,570","$197,970",0.291,1.5
North Dakota (38-00000),40,2.5,$39.22,"$81,580",0.7,$26.01,$31.06,$37.89,$43.80,$53.03,"$54,100","$64,610","$78,800","$91,110","$110,300",0.095,0.5
Ohio (39-00000),360,6.2,$43.80,"$91,090",3.1,$25.18,$32.40,$40.45,$52.63,$67.32,"$52,380","$67,380","$84,130","$109,470","$140,030",0.065,0.3
Oklahoma (40-00000),40,13.7,$45.44,"$94,520",3.7,$30.06,$32.72,$39.03,$54.34,$70.50,"$62,520","$68,050","$81,180","$113,030","$146,640",0.023,0.1
Oregon (41-00000),610,9.0,$45.63,"$94,920",4.5,$27.98,$35.45,$45.01,$54.50,$63.52,"$58,200","$73,740","$93,620","$113,350","$132,120",0.309,1.6
Pennsylvania (42-00000),"2,190",6.9,$47.61,"$99,020",3.6,$28.60,$29.64,$40.22,$62.19,$77.85,"$59,490","$61,650","$83,660","$129,350","$161,920",0.364,1.9
Puerto Rico (72-00000),380,43.7,$23.71,"$49,310",2.3,$14.82,$19.72,$23.18,$27.05,$33.04,"$30,820","$41,020","$48,210","$56,270","$68,720",0.405,2.1
Rhode Island (44-00000),50,13.1,$44.06,"$91,650",1.6,$36.50,$39.30,$44.08,$48.60,$52.66,"$75,920","$81,750","$91,680","$101,090","$109,540",0.092,0.5
South Carolina (45-00000),310,3.9,$33.73,"$70,160",1.9,$15.27,$18.62,$31.66,$47.38,$57.19,"$31,750","$38,730","$65,850","$98,550","$118,960",0.137,0.7
Tennessee (47-00000),800,5.5,$44.45,"$92,460",2.0,$27.09,$32.88,$42.67,$51.15,$63.73,"$56,350","$68,390","$88,760","$106,400","$132,550",0.243,1.3
Texas (48-00000),"1,210",7.3,$53.32,"$110,910",2.3,$30.18,$39.00,$50.19,$64.35,$78.02,"$62,760","$81,110","$104,380","$133,850","$162,280",0.088,0.4
Utah (49-00000),(8) -,(8) -,$46.19,"$96,070",6.3,$32.33,$33.89,$42.34,$52.18,$72.24,"$67,240","$70,490","$88,060","$108,540","$150,270",(8) -,(8) -
Vermont (50-00000),120,1.1,$38.20,"$79,450",0.9,$27.66,$31.80,$35.25,$41.32,$48.56,"$57,530","$66,140","$73,320","$85,950","$101,000",0.392,2.0
Virginia (51-00000),800,33.1,$53.73,"$111,760",4.6,$28.82,$38.27,$48.99,$68.05,$83.24,"$59,940","$79,610","$101,900","$141,540","$173,140",0.197,1.0
Washington (53-00000),"2,520",19.7,$53.85,"$112,000",3.4,$38.53,$44.10,$48.99,$62.61,$74.53,"$80,150","$91,730","$101,890","$130,230","$155,020",0.711,3.7
West Virginia (54-00000),90,28.5,$40.60,"$84,450",6.2,$21.33,$24.58,$38.74,$48.77,$66.58,"$44,370","$51,120","$80,580","$101,440","$138,490",0.128,0.7
Wisconsin (55-00000),250,21.6,$46.25,"$96,200",2.9,$34.03,$38.76,$42.74,$50.21,$59.93,"$70,780","$80,620","$88,910","$104,430","$124,660",0.087,0.4
Footnotes:,,,,,,,,,,,,,,,,,
(1) Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,,,,,,,,,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,,,,,,,,,,,,
"(3) The relative standard error (RSE) is a measure of the reliability of a survey statistic. The smaller the relative standard error, the more precise the estimate.",,,,,,,,,,,,,,,,,
(8) Estimate not released.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Data extracted on November 05, 2025",,,,,,,,,,,,,,,,,
