One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Operations Research Analysts (SOC code 15-2031),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Indiana (18-00000),"1,660",4.7,$44.25,"$92,040",1.1,$27.89,$31.35,$40.46,$51.29,$64.33,"$58,010","$65,200","$84,150","$106,680","$133,810",0.522,0.8
Iowa (19-00000),350,36.4,$43.02,"$89,480",14.9,$18.56,$28.71,$37.57,$56.69,$65.72,"$38,600","$59,730","$78,140","$117,920","$136,700",0.225,0.3
Kansas (20-00000),550,36.2,$48.01,"$99,860",1.2,$29.28,$38.77,$47.95,$59.15,$67.35,"$60,900","$80,630","$99,740","$123,030","$140,090",0.388,0.6
Kentucky (21-00000),920,11.8,$42.78,"$88,980",2.6,$27.36,$30.85,$39.31,$49.46,$61.15,"$56,910","$64,170","$81,760","$102,870","$127,200",0.462,0.7
Louisiana (22-00000),730,9.2,$34.12,"$70,970",4.4,$26.30,$27.96,$30.89,$33.62,$48.01,"$54,700","$58,150","$64,240","$69,920","$99,860",0.384,0.6
Maine (23-00000),360,15.5,$45.55,"$94,740",5.1,$28.98,$35.47,$43.47,$55.30,$65.81,"$60,270","$73,780","$90,420","$115,020","$136,890",0.572,0.8
Maryland (24-00000),"4,280",16.8,$51.07,"$106,230",5.3,$22.60,$34.03,$48.55,$69.00,$84.88,"$47,010","$70,780","$100,990","$143,520","$176,550",1.557,2.2
Massachusetts (25-00000),"4,860",11.1,$47.52,"$98,830",2.1,$31.92,$37.09,$43.28,$54.47,$69.66,"$66,390","$77,150","$90,030","$113,290","$144,900",1.333,1.9
Michigan (26-00000),"1,050",10.6,$45.77,"$95,200",4.1,$29.72,$34.97,$40.43,$50.31,$70.54,"$61,830","$72,730","$84,100","$104,640","$146,730",0.239,0.3
Minnesota (27-00000),"1,300",7.7,$46.94,"$97,620",2.0,$29.09,$35.46,$42.90,$52.78,$64.92,"$60,510","$73,750","$89,240","$109,780","$135,030",0.447,0.6
Mississippi (28-00000),130,7.3,$41.54,"$86,390",2.6,$24.06,$29.91,$42.09,$48.02,$60.71,"$50,050","$62,210","$87,550","$99,880","$126,280",0.112,0.2
Missouri (29-00000),"2,010",6.5,$31.89,"$66,330",2.0,$22.28,$22.39,$26.75,$33.87,$57.69,"$46,340","$46,570","$55,640","$70,450","$119,990",0.688,1.0
Montana (30-00000),160,6.5,$36.17,"$75,230",1.4,$29.58,$29.58,$34.30,$38.60,$48.11,"$61,520","$61,520","$71,350","$80,290","$100,070",0.306,0.4
Nebraska (31-00000),290,14.5,$46.53,"$96,790",2.6,$28.25,$31.43,$46.63,$57.69,$69.72,"$58,760","$65,380","$96,990","$120,000","$145,030",0.290,0.4
Nevada (32-00000),350,26.0,$45.13,"$93,880",5.4,$29.66,$33.30,$39.48,$55.71,$69.95,"$61,690","$69,250","$82,120","$115,880","$145,500",0.226,0.3
New Hampshire (33-00000),230,14.6,$44.41,"$92,380",6.7,$27.71,$34.93,$41.53,$51.88,$64.43,"$57,630","$72,650","$86,380","$107,900","$134,010",0.333,0.5
New Jersey (34-00000),"2,630",34.7,$53.84,"$111,990",2.2,$32.32,$38.85,$48.66,$64.96,$78.32,"$67,220","$80,800","$101,220","$135,120","$162,900",0.619,0.9
New Mexico (35-00000),500,12.7,$43.91,"$91,340",2.4,$23.56,$30.79,$37.47,$54.34,$69.06,"$49,000","$64,030","$77,930","$113,030","$143,640",0.578,0.8
New York (36-00000),"6,020",7.7,$56.30,"$117,110",3.4,$25.61,$36.62,$52.62,$67.38,$87.13,"$53,270","$76,180","$109,440","$140,150","$181,240",0.631,0.9
North Carolina (37-00000),"2,520",3.4,$47.55,"$98,910",1.1,$28.68,$34.79,$48.38,$59.68,$62.67,"$59,650","$72,360","$100,630","$124,130","$130,350",0.515,0.7
North Dakota (38-00000),140,7.9,$39.16,"$81,460",2.1,$24.93,$30.71,$38.50,$45.90,$49.39,"$51,860","$63,870","$80,080","$95,460","$102,730",0.325,0.5
Ohio (39-00000),"2,970",12.8,$48.64,"$101,160",2.7,$27.77,$35.66,$50.29,$60.09,$65.10,"$57,770","$74,160","$104,610","$124,980","$135,400",0.538,0.8
Oklahoma (40-00000),"1,510",1.9,$30.67,"$63,790",1.1,$19.40,$25.01,$30.06,$30.83,$46.30,"$40,360","$52,030","$62,510","$64,130","$96,300",0.892,1.3
Oregon (41-00000),"2,590",5.1,$48.87,"$101,650",1.5,$31.36,$37.51,$47.71,$61.11,$67.83,"$65,230","$78,020","$99,250","$127,100","$141,080",1.320,1.9
Pennsylvania (42-00000),"3,030",3.7,$41.10,"$85,490",1.8,$24.68,$28.19,$36.42,$49.00,$64.90,"$51,330","$58,620","$75,760","$101,910","$134,990",0.504,0.7
Puerto Rico (72-00000),60,38.5,$33.19,"$69,040",10.4,$19.62,$24.70,$29.79,$42.74,$44.54,"$40,820","$51,370","$61,950","$88,910","$92,640",0.061,0.1
Rhode Island (44-00000),270,25.4,$52.68,"$109,570",19.2,$28.61,$28.67,$41.41,$74.81,$96.15,"$59,500","$59,630","$86,120","$155,600","$199,990",0.538,0.8
South Carolina (45-00000),"1,210",17.0,$39.48,"$82,120",3.1,$26.04,$29.53,$36.00,$46.83,$58.12,"$54,150","$61,420","$74,880","$97,410","$120,900",0.532,0.8
Tennessee (47-00000),"1,240",15.7,$39.91,"$83,020",4.9,$24.20,$27.45,$36.23,$50.21,$61.68,"$50,330","$57,090","$75,370","$104,430","$128,290",0.378,0.5
Texas (48-00000),"12,240",11.0,$48.60,"$101,100",4.0,$26.97,$31.76,$46.47,$57.72,$83.36,"$56,090","$66,050","$96,660","$120,060","$173,380",0.884,1.3
Utah (49-00000),"1,090",5.4,$40.79,"$84,840",2.6,$20.81,$29.20,$39.54,$49.05,$59.80,"$43,280","$60,730","$82,230","$102,020","$124,380",0.636,0.9
Vermont (50-00000),120,20.1,$50.02,"$104,040",8.6,$30.35,$36.41,$52.31,$63.51,$64.91,"$63,120","$75,730","$108,800","$132,100","$135,000",0.392,0.6
Virginia (51-00000),"6,320",5.3,$58.98,"$122,680",1.4,$29.68,$42.45,$59.16,$73.35,$87.12,"$61,730","$88,290","$123,050","$152,560","$181,210",1.554,2.2
Washington (53-00000),"2,850",7.5,$50.81,"$105,680",3.5,$31.69,$36.62,$46.39,$63.43,$78.29,"$65,920","$76,180","$96,490","$131,930","$162,830",0.804,1.1
West Virginia (54-00000),220,12.6,$36.31,"$75,510",3.3,$22.79,$29.41,$30.65,$41.45,$54.34,"$47,400","$61,160","$63,760","$86,210","$113,030",0.320,0.5
Wisconsin (55-00000),"4,080",4.3,$37.92,"$78,880",1.8,$23.84,$28.92,$36.04,$43.97,$54.63,"$49,580","$60,150","$74,970","$91,450","$113,640",1.395,2.0
Footnotes:,,,,,,,,,,,,,,,,,
(1) Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,,,,,,,,,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,,,,,,,,,,,,
"(3) The relative standard error (RSE) is a measure of the reliability of a survey statistic. The smaller the relative standard error, the more precise the estimate.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Data extracted on November 05, 2025",,,,,,,,,,,,,,,,,
