"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belgium","BEL","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","4.8","5.8","7.3","8.1","",
"Benin","BEN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","63.8","66.3","65.8","64","61.9","62.7","63.3","65.6","",
"Burkina Faso","BFA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9","39.1","39.5","40.1","40.5","40.7","41.4","",
"Bangladesh","BGD","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9","13.6","12","12.5","13.2","15.5","15.8","14.8","11.6","",
"Bahrain","BHR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2","17.2","17.2","","",
"Bosnia and Herzegovina","BIH","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.6","10.3","8.7","9.2","10","12.6","13.4","13.3","9.9","",
"Belarus","BLR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.4","1.3","1.2","1.1","",
"Belize","BLZ","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","42.3","45.5","","","",
"Bermuda","BMU","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","15.6","15.5","14.2","15.8","19.4","22.1","18.4","13.5","",
"Barbados","BRB","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1","31.1","31.1","","",
"Brunei Darussalam","BRN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4","51.3","53.4","53.1","54","55.6","56.3","55.4","53.9","",
"Central African Republic","CAF","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.1","88.1","88.1","","",
"Canada","CAN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5.1","5.8","6.5","7.7","8.5","10.2","",
"Central Europe and the Baltics","CEB","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","4.2","3.1","2.6","2","2.2","2.1","2.5","2","",
"Channel Islands","CHI","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8","12.2","13.7","15.3","17.3","17.4","18.2","17.6","19.2","",
"China","CHN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1","35.7","37","38.2","39.5","40.4","41","39.4","38.4","",
"Cameroon","CMR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.9","55.3","58","57","56.4","56.5","59.2","60.3","61.2","",
"Congo, Dem. Rep.","COD","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.2","72.3","75.9","80.2","81.5","",
"Congo, Rep.","COG","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9","22.3","24.9","26.5","28.5","30.5","31.6","30.6","27.8","",
"Comoros","COM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.7","79.7","79.7","79.7","",
"Cabo Verde","CPV","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.7","36.4","35.1","35.4","34.8","34.3","32.1","",
"Costa Rica","CRI","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2","12.9","13.7","14.5","15.3","15.9","16.2","16.2","15.4","",
"Caribbean small states","CSS","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","",
"Czechia","CZE","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","5.1","3.9","3.8","4.2","5.8","8.5","10","10","",
"Germany","DEU","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","3.8","3.6","3.5","3.4","3.5","3.8","4","4.1","",
"Djibouti","DJI","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.2","49.2","49.2","49.2","",
"Dominica","DMA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.4","34.4","34.4","","",
"Denmark","DNK","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9","5.8","5.4","5.2","5","5.5","6.8","7.1","6.9","",
"Dominican Republic","DOM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.2","54","54.4","52.6","55","53.1","52.1","46.1","43.8","",
"Algeria","DZA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9","21.5","19.8","17.6","17.6","19","19.4","18.9","17.6","",
"East Asia & Pacific (excluding high income)","EAP","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.7","23.3","26.2","29.2","32.7","36.8","37.3","36.9","33.3","",
"Egypt, Arab Rep.","EGY","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8","29.9","33.1","31.2","27.8","27.3","28.5","29.8","30.8","",
"Euro area","EMU","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","7.5","7.5","8.6","8.8","8.6","8","6.9","6.5","",
"Estonia","EST","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","8.3","8.2","7.4","7.9","7.9","8.5","9.3","10.8","",
"Ethiopia","ETH","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.2","58.3","59.4","57.9","56.3","56.2","58.1","59","61.4","",
"European Union","EUU","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3","8.4","8.3","7.7","8","8.8","10.5","12.6","13.4","",
"Fiji","FJI","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3","19.3","24.2","29.2","","",
"France","FRA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","6.3","6.3","6","5.8","5.9","6.6","7.9","8.4","",
"Faroe Islands","FRO","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","6.1","5.6","4.9","3.9","3.5","4.1","5.7","6.9","",
"Georgia","GEO","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.8","33.8","35.5","38.3","39.7","38.8","36.5","32.3","26.6","",
"Ghana","GHA","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.3","40.8","43.8","39.5","38.2","36.6","38.8","42.4","44.5","",
"Gibraltar","GIB","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.7","52.7","54.3","56","58","60.7","59","54.8","",
"Guinea-Bissau","GNB","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.7","61.8","62","62.3","62.4","62.5","","",
"Equatorial Guinea","GNQ","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8","16.4","16.6","13.3","8.6","6.8","6.3","6.4","6.6","",
"Grenada","GRD","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6","23.6","23.6","22.3","20.7","18.6","17.3","",
"Greenland","GRL","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7","44.2","43.5","45.2","49.6","55.8","55","52.4","48.8","",
"Guam","GUM","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5","25.5","25.5","",
"High income","HIC","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong SAR, China","HKG","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.6","41.4","41.1","40.9","45.6","48.4","49.3","43.7","41.3","",
"Heavily indebted poor countries (HIPC)","HPC","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","6.9","7.8","10","11","11.4","9.7","7.9","6","",
"Haiti","HTI","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.7","82.5","82.6","82.8","83.2","",
"Hungary","HUN","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3","9.4","8.8","6.9","8.6","10.6","12.6","15","15.6","",
"IBRD only","IBD","Prevalence of moderate or severe food insecurity in the population (%)","SN.ITK.MSFI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
