One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Management Analysts (SOC code 13-1111),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Georgia (13-00000),"40,430",5.3,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,8.326,1.4
Guam (66-00000),210,1.0,$36.43,"$75,770",1.1,$21.95,$29.52,$34.88,$43.20,$51.56,"$45,660","$61,400","$72,550","$89,860","$107,240",3.448,0.6
Hawaii (15-00000),"2,600",4.9,$47.28,"$98,350",2.3,$30.85,$36.03,$45.03,$55.63,$66.22,"$64,170","$74,950","$93,660","$115,710","$137,730",4.186,0.7
Idaho (16-00000),"2,740",16.3,$45.71,"$95,070",7.4,$23.48,$30.07,$39.23,$55.74,$74.65,"$48,840","$62,540","$81,590","$115,950","$155,270",3.246,0.6
Illinois (17-00000),"44,010",6.5,$59.57,"$123,900",2.4,$28.75,$39.20,$53.06,$74.28,$96.03,"$59,810","$81,540","$110,370","$154,490","$199,740",7.256,1.3
Indiana (18-00000),"10,880",8.6,$49.07,"$102,060",3.5,$23.81,$30.95,$43.26,$57.10,$74.81,"$49,520","$64,370","$89,990","$118,770","$155,610",3.415,0.6
Iowa (19-00000),"4,980",5.4,$42.71,"$88,840",1.9,$25.46,$30.97,$39.53,$50.52,$62.05,"$52,950","$64,420","$82,230","$105,080","$129,070",3.189,0.6
Kansas (20-00000),"5,670",13.5,$42.42,"$88,230",4.7,$22.58,$28.89,$39.01,$51.11,$63.96,"$46,970","$60,100","$81,130","$106,310","$133,040",3.964,0.7
Kentucky (21-00000),"4,190",7.4,$44.89,"$93,360",3.4,$27.28,$31.71,$41.01,$53.03,$64.28,"$56,750","$65,960","$85,290","$110,300","$133,710",2.099,0.4
Louisiana (22-00000),"4,420",7.1,$51.16,"$106,420",5.1,$28.82,$36.31,$47.44,$59.66,$78.45,"$59,950","$75,510","$98,680","$124,090","$163,180",2.311,0.4
Maine (23-00000),"2,410",11.7,$44.58,"$92,730",5.7,$27.01,$31.18,$38.56,$53.48,$62.96,"$56,180","$64,850","$80,210","$111,240","$130,950",3.793,0.6
Maryland (24-00000),"21,010",4.2,$59.82,"$124,430",1.8,$37.27,$46.42,$58.60,$68.22,$81.60,"$77,520","$96,550","$121,890","$141,890","$169,740",7.652,1.3
Massachusetts (25-00000),"30,100",6.8,$70.83,"$147,330",2.5,$38.18,$47.81,$63.39,$80.55,$103.64,"$79,410","$99,440","$131,840","$167,540","$215,560",8.263,1.4
Michigan (26-00000),"14,290",7.9,$49.97,"$103,930",4.7,$27.87,$33.63,$43.57,$58.58,$80.02,"$57,980","$69,950","$90,620","$121,850","$166,440",3.255,0.6
Minnesota (27-00000),"21,530",4.0,$53.27,"$110,810",4.9,$30.43,$36.20,$46.15,$60.61,$80.91,"$63,300","$75,300","$95,980","$126,070","$168,290",7.372,1.3
Mississippi (28-00000),"3,260",5.1,$42.59,"$88,590",4.6,$21.12,$26.08,$33.66,$49.91,$78.37,"$43,930","$54,250","$70,010","$103,820","$163,000",2.814,0.5
Missouri (29-00000),"11,350",5.4,$52.38,"$108,950",4.2,$28.16,$33.44,$46.07,$61.00,$78.21,"$58,570","$69,550","$95,830","$126,880","$162,670",3.890,0.7
Montana (30-00000),"1,580",9.2,$41.97,"$87,290",6.2,$24.68,$29.92,$41.23,$50.12,$60.80,"$51,330","$62,230","$85,760","$104,260","$126,460",3.091,0.5
Nebraska (31-00000),"2,650",6.2,$44.11,"$91,750",5.0,$23.38,$28.45,$39.64,$53.06,$64.13,"$48,620","$59,180","$82,440","$110,360","$133,390",2.610,0.4
Nevada (32-00000),"5,360",7.7,$51.20,"$106,490",3.4,$28.55,$35.08,$44.87,$64.79,$79.32,"$59,370","$72,960","$93,320","$134,760","$164,990",3.503,0.6
New Hampshire (33-00000),"2,810",17.3,$56.34,"$117,180",12.1,$33.34,$39.66,$49.91,$63.21,$79.21,"$69,350","$82,490","$103,810","$131,470","$164,760",4.120,0.7
New Jersey (34-00000),"21,490",7.4,$57.27,"$119,130",2.9,$32.41,$40.00,$50.53,$65.07,$84.86,"$67,420","$83,210","$105,100","$135,340","$176,500",5.056,0.9
New Mexico (35-00000),"3,440",4.3,$43.48,"$90,440",2.5,$25.76,$30.22,$40.80,$51.68,$64.07,"$53,580","$62,850","$84,870","$107,480","$133,260",3.999,0.7
New York (36-00000),"65,390",2.8,$59.86,"$124,510",2.1,$29.99,$38.46,$51.41,$70.52,$97.79,"$62,380","$79,990","$106,930","$146,680","$203,410",6.853,1.2
North Carolina (37-00000),"21,750",5.9,$51.36,"$106,830",2.1,$24.70,$34.91,$47.45,$62.54,$80.04,"$51,380","$72,600","$98,700","$130,070","$166,490",4.441,0.8
North Dakota (38-00000),"1,080",15.4,$42.73,"$88,880",18.5,$23.13,$31.71,$35.14,$50.23,$61.99,"$48,100","$65,960","$73,080","$104,480","$128,940",2.556,0.4
Ohio (39-00000),"26,990",2.2,$45.35,"$94,320",1.1,$24.95,$31.40,$39.22,$53.88,$66.19,"$51,890","$65,310","$81,590","$112,060","$137,680",4.884,0.8
Oklahoma (40-00000),"4,630",9.8,$45.83,"$95,320",3.9,$27.19,$33.63,$41.80,$53.20,$70.81,"$56,550","$69,950","$86,940","$110,660","$147,290",2.737,0.5
Oregon (41-00000),"11,590",4.4,$52.45,"$109,090",2.6,$32.99,$39.54,$48.48,$57.99,$69.52,"$68,610","$82,230","$100,840","$120,620","$144,600",5.894,1.0
Pennsylvania (42-00000),"23,450",5.2,$47.86,"$99,540",6.1,$24.76,$32.78,$45.22,$57.22,$71.29,"$51,500","$68,180","$94,050","$119,020","$148,280",3.899,0.7
Puerto Rico (72-00000),"3,270",7.9,$33.03,"$68,700",5.2,$17.75,$23.42,$31.58,$38.84,$47.87,"$36,920","$48,710","$65,680","$80,780","$99,570",3.483,0.6
Rhode Island (44-00000),"2,980",11.1,$49.22,"$102,370",4.4,$31.72,$38.82,$42.85,$53.87,$69.67,"$65,980","$80,750","$89,130","$112,050","$144,900",6.033,1.0
South Carolina (45-00000),"10,600",4.5,$50.12,"$104,240",7.0,$22.93,$31.77,$41.85,$54.51,$78.41,"$47,700","$66,080","$87,050","$113,390","$163,090",4.667,0.8
South Dakota (46-00000),"3,180",5.1,$41.54,"$86,410",2.8,$27.28,$30.76,$38.30,$48.29,$64.05,"$56,730","$63,990","$79,660","$100,450","$133,230",7.020,1.2
Tennessee (47-00000),"12,750",7.3,$49.21,"$102,350",4.0,$29.49,$36.04,$46.83,$58.74,$77.64,"$61,330","$74,960","$97,410","$122,170","$161,500",3.894,0.7
Texas (48-00000),"49,950",6.1,$51.71,"$107,550",2.1,$29.85,$36.07,$47.43,$61.75,$79.84,"$62,090","$75,030","$98,650","$128,430","$166,070",3.607,0.6
Utah (49-00000),"7,370",9.5,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,4.309,0.7
Vermont (50-00000),970,15.2,$58.59,"$121,870",6.7,$32.44,$41.44,$55.69,$68.88,$74.80,"$67,470","$86,200","$115,840","$143,260","$155,590",3.203,0.6
Virgin Islands (78-00000),70,32.5,$40.62,"$84,500",4.8,$23.62,$26.74,$37.99,$47.37,$56.89,"$49,130","$55,630","$79,020","$98,540","$118,330",1.918,0.3
Virginia (51-00000),"64,710",3.5,$59.27,"$123,280",24.6,$30.67,$39.42,$52.71,$67.71,$83.39,"$63,800","$81,990","$109,650","$140,840","$173,460",15.921,2.8
Washington (53-00000),"24,900",6.3,$59.73,"$124,240",2.2,$35.18,$42.55,$57.08,$75.61,$93.29,"$73,170","$88,510","$118,730","$157,270","$194,050",7.035,1.2
West Virginia (54-00000),"1,560",6.5,$46.99,"$97,740",2.8,$25.24,$32.58,$45.22,$55.63,$66.43,"$52,500","$67,760","$94,060","$115,710","$138,170",2.217,0.4
Wisconsin (55-00000),"12,430",4.3,$53.13,"$110,500",2.5,$30.57,$37.51,$48.22,$61.35,$84.17,"$63,590","$78,020","$100,310","$127,620","$175,080",4.253,0.7
Wyoming (56-00000),440,22.0,$61.26,"$127,420",13.1,$35.60,$41.80,$49.91,$66.06,$104.33,"$74,050","$86,940","$103,820","$137,410","$217,010",1.577,0.3
Footnotes:,,,,,,,,,,,,,,,,,
(1) Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,,,,,,,,,,,,,,
"(2) Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,,,,,,,,,,,,
"(3) The relative standard error (RSE) is a measure of the reliability of a survey statistic. The smaller the relative standard error, the more precise the estimate.",,,,,,,,,,,,,,,,,
(8) Estimate not released.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Data extracted on November 05, 2025",,,,,,,,,,,,,,,,,
